과목,학기,제목,연구자1,연구자2
수학,1,극택시기하에서의 타원과 쌍곡선의 개형 탐구,,
수학,1,진실 탐지기 게임에서의 자료 탐색 전략에 대한 연구,,
수학,1,일반 및 대각선 횡단보도에서 신호 대기시간에 관한 탐구,,
수학,1,Non-stagnant graph의 성질 탐구 및 실생활로의 확장 방안,,
수학,1,3-Regular Labeled Graph의 개수의 Recurrence Relation에 관한 연구,,
수학,1,평균의 3분의 2 추측 게임의 전략 탐구,,
수학,2,SIRS 모형을 이용한 전염병 확산 차단 모형 모델링,,
수학,2,보드게임 '디빈치 코드에서 초기 패별 승률 분석과 그 경향성에 대한 수학적 탐구,,
수학,2,극좌표계를 이용한 편심원뿔과 티원뿔의 전개도,,
수학,2,뷔퐁의 바늘문제를 응용한 연구,,
물리,1,모형을 통한 단순 모음의 발음이 음성에 주는 영향 탐구,,
물리,1,"합죽선에서 목살, 속살, 여백비(15,13,2)의 의미",,
물리,1,신발의 마찰소음을 줄이기 위한 밑창 구조,,
물리,1,점성을 가진 비압축성 유체 계면에서의 운동분석,,
물리,1,회전하는 유체 내의 이차 흐름 분석,,
물리,1,매질에 따른 용수철의 히스테리시스 손실에 대한 연구,,
물리,1,자성유체 에너지 하베스팅을 위한 최적의 계면활성제 조건 연구,,
물리,1,나선 구조의 금속선에서의 손상에 따른 인장강도의 변화,,
물리,1,유동을 최소회하는 구조와 점성과의 관계,,
물리,2,모래시계의 구멍 크기에 따른 작동 시간과 무게 변화의 역학적 분석,,
물리,2,선박 내 평형수 탱크 구조에 따른 안정성에 대한 탐구,,
물리,2,공명기의 기하학적 형태에 따른 공명특성 변화관찰,,
물리,2,Stick-Slip 현상이 현악기의 음파에 미치는 영향,,
화학,1,소프트렌즈에서의 종류별 수용성 미세먼지흡착량 비교 및 고찰,,
화학,1,아밀로오스 및 아밀로펙틴 힘량 및 염 첨가에 따른 전분의 겔화 가능성에 대한 연구,,
화학,1,가교제 함량과 분해환경의 pH에 따른 키토산 마이크로캡술의 특성과 ascorbic acid 방출거동,,
화학,1,"인디고 염색 조건에 따른 흡착, 탈착 정도 비교",,
화학,2,섭취 가능한 용매로 추출한 양파의 쿼세틴 정도 비교,,
화학,2,페라이트계 원료 TiO2의 유전적 손실을 이용한 전자파치폐 물질의 설계,,
생명,1,Rhodopseudomonas pseudopalustris의 대사과정에 의한 난분해성 방향족 화합물화합물의 생분해능 조사 및 유기폐수처리 연구,,
생명,1,약용식물 추출물 첨가를 통한 대두유 바이오디젤의 수율 향상 탐구,,
생명,1,Monascus sp.의색소 추출물을 이용한 천연염모제의 기능성과 인정성,,
생명,1,SDS 미생물 연료전지 제작 및 효율 향상 방안 탐구 ,,
생명,1,다층박막적층법을 이용한 프로바이오틱스 속 유산균 생존율 증진 방법 고안,,
생명,2,식용유지 코팅이 펙탄-알긴산 비드의 약물 방출 거동에 미치는영향,,
지구과학,1,전기화학적 방법을 이용한 폐수 속 미세플라스틱 제거방안 연구,,
지구과학,2,월파형 파력발전기의 변인에 따른 발전효율 분석,,
정보,1,자율주행 치량의 차선변경을 위한 판단 알고리즘 연구,,
정보,1,유전자 시퀸스 분석을 통한 질병 유발 돌연변이 예측하기,,
정보,1,Deep leaming과 Tacotron을 활용한 Singable Voice Synthesis 기술개발,,
정보,2,PageRank 알고리즘을 활용한 Crawing the Large Sites Fist 알고리즘의 성능 개선,,
